task_index,source,split,condition,both_success,native_only,best_only,both_fail,best_minus_native
18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,normal,4,0,0,0,0.0
19,libero_goal/turn_on_the_stove_demo,train,normal,4,0,0,0,0.0
20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,normal,4,0,0,0,0.0
25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,normal,4,0,0,0,0.0
28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,normal,4,0,0,0,0.0
30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,normal,3,1,0,0,-0.25
33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,normal,2,1,1,0,0.0
38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,normal,4,0,0,0,0.0
0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,camera,2,0,1,1,0.25
1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,camera,0,0,1,3,0.25
2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,camera,0,2,0,2,-0.5
3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,camera,1,0,1,2,0.25
4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,camera,3,0,1,0,0.25
5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,camera,4,0,0,0,0.0
6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,camera,4,0,0,0,0.0
7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,camera,1,0,2,1,0.5
8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,camera,1,0,1,2,0.25
9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,camera,4,0,0,0,0.0
10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,camera,2,0,1,1,0.25
11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,camera,1,1,1,1,0.0
12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,camera,3,0,0,1,0.0
13,libero_goal/put_the_bowl_on_the_plate_demo,train,camera,4,0,0,0,0.0
14,libero_goal/put_the_bowl_on_the_stove_demo,train,camera,4,0,0,0,0.0
15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,camera,4,0,0,0,0.0
16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,camera,2,1,1,0,0.0
17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,camera,2,1,1,0,0.0
18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,camera,4,0,0,0,0.0
19,libero_goal/turn_on_the_stove_demo,train,camera,4,0,0,0,0.0
20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,camera,3,1,0,0,-0.25
21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,camera,3,1,0,0,-0.25
22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,camera,3,0,1,0,0.25
23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,camera,4,0,0,0,0.0
24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,camera,3,0,1,0,0.25
25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,camera,4,0,0,0,0.0
26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,camera,4,0,0,0,0.0
27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,camera,4,0,0,0,0.0
28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,camera,2,0,2,0,0.5
29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,camera,4,0,0,0,0.0
30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,camera,3,0,1,0,0.25
31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,camera,2,1,1,0,0.0
33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,camera,1,0,3,0,0.75
38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,camera,4,0,0,0,0.0
0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,lighting,4,0,0,0,0.0
1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,lighting,2,1,1,0,0.0
2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,lighting,1,2,1,0,-0.25
3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,lighting,1,0,3,0,0.75
4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,lighting,4,0,0,0,0.0
5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,lighting,3,0,1,0,0.25
6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,lighting,4,0,0,0,0.0
7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,lighting,4,0,0,0,0.0
8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,lighting,3,0,1,0,0.25
9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,lighting,3,0,1,0,0.25
10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,lighting,3,1,0,0,-0.25
11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,lighting,4,0,0,0,0.0
12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,lighting,3,0,1,0,0.25
13,libero_goal/put_the_bowl_on_the_plate_demo,train,lighting,4,0,0,0,0.0
14,libero_goal/put_the_bowl_on_the_stove_demo,train,lighting,4,0,0,0,0.0
15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,lighting,4,0,0,0,0.0
16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,lighting,4,0,0,0,0.0
17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,lighting,4,0,0,0,0.0
18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,lighting,4,0,0,0,0.0
19,libero_goal/turn_on_the_stove_demo,train,lighting,4,0,0,0,0.0
20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,lighting,3,0,1,0,0.25
22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,lighting,4,0,0,0,0.0
25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,lighting,4,0,0,0,0.0
28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,lighting,4,0,0,0,0.0
30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,lighting,2,1,1,0,0.0
38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,lighting,4,0,0,0,0.0
0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,combined,2,0,1,1,0.25
1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,combined,1,0,1,2,0.25
2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,combined,0,2,0,2,-0.5
3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,combined,1,0,2,1,0.5
4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,combined,2,0,1,1,0.25
5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,combined,4,0,0,0,0.0
6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,combined,2,1,1,0,0.0
7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,combined,1,0,1,2,0.25
8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,combined,2,0,1,1,0.25
9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,combined,4,0,0,0,0.0
10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,combined,2,0,1,1,0.25
11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,combined,1,1,1,1,0.0
12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,combined,2,1,0,1,-0.25
13,libero_goal/put_the_bowl_on_the_plate_demo,train,combined,4,0,0,0,0.0
14,libero_goal/put_the_bowl_on_the_stove_demo,train,combined,4,0,0,0,0.0
15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,combined,4,0,0,0,0.0
16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,combined,3,0,0,1,0.0
17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,combined,2,1,1,0,0.0
18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,combined,4,0,0,0,0.0
19,libero_goal/turn_on_the_stove_demo,train,combined,4,0,0,0,0.0
20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,combined,4,0,0,0,0.0
21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,combined,4,0,0,0,0.0
22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,combined,2,0,2,0,0.5
23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,combined,4,0,0,0,0.0
24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,combined,2,0,2,0,0.5
25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,combined,4,0,0,0,0.0
26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,combined,4,0,0,0,0.0
27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,combined,4,0,0,0,0.0
28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,combined,3,0,1,0,0.25
29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,combined,3,0,1,0,0.25
30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,combined,3,0,1,0,0.25
31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,combined,3,0,0,1,0.0
33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,combined,3,1,0,0,-0.25
35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,combined,1,0,3,0,0.75
38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,combined,4,0,0,0,0.0
